url_length,https,subdomain_count,has_ip,hyphen_count,digit_ratio,path_length,has_at_symbol,brand_keyword_count,label
61,1,2,0,0,0.0,41,0,0,0
38,1,3,0,0,0.138,1,0,0,0
56,1,2,0,0,0.0,32,0,0,0
79,1,5,0,0,0.0,26,0,0,0
61,1,2,0,0,0.0,35,0,0,0
27,1,2,0,1,0.0,1,0,0,0
63,1,3,0,0,0.0,40,0,0,0
37,1,3,0,0,0.0,9,0,0,0
95,1,2,0,0,0.0,65,0,0,0
37,1,2,0,0,0.0,1,0,0,0
45,1,2,0,0,0.0,25,0,0,0
43,1,2,0,0,0.0,6,0,0,0
43,1,3,0,0,0.0,14,0,0,0
41,1,2,0,0,0.0,11,0,0,0
83,1,2,0,0,0.0,40,0,0,0
100,1,2,0,0,0.0,81,0,0,0
59,1,4,0,0,0.0,12,0,0,0
37,1,2,0,0,0.0,14,0,0,0
67,1,2,0,0,0.0,43,0,0,0
36,1,2,0,0,0.0,13,0,0,0
41,1,3,0,0,0.0,9,0,0,0
53,1,3,0,0,0.0,25,0,0,0
44,1,2,0,0,0.0,1,0,0,0
65,1,3,0,0,0.154,31,0,0,0
57,1,2,0,0,0.0,30,0,0,0
29,1,2,0,0,0.0,1,0,0,0
46,1,3,0,0,0.0,18,0,0,0
48,1,2,0,1,0.0,15,0,0,0
78,1,2,0,0,0.0,17,0,0,0
74,1,2,0,0,0.0,54,0,0,0
65,1,3,0,0,0.1,10,0,0,0
86,1,2,0,0,0.0,26,0,0,0
43,1,2,0,0,0.0,6,0,0,0
73,1,2,0,0,0.0,47,0,0,0
44,1,2,0,0,0.0,22,0,0,0
72,1,5,0,0,0.0,19,0,0,0
52,1,3,0,0,0.0,25,0,0,0
60,1,2,0,0,0.0,10,0,0,0
53,1,2,0,0,0.0,26,0,0,0
47,1,3,0,0,0.0,16,0,0,0
63,1,3,0,0,0.0,35,0,0,0
82,1,3,0,0,0.0,49,0,0,0
56,1,2,0,0,0.0,20,0,0,0
31,1,2,0,0,0.0,1,0,0,0
84,1,3,0,0,0.0,56,0,0,0
77,1,2,0,0,0.0,53,0,0,0
52,1,2,0,0,0.0,20,0,0,0
58,1,3,0,0,0.0,14,0,0,0
34,1,3,0,0,0.0,1,0,0,0
135,1,2,0,0,0.0,104,0,0,0
40,1,2,0,0,0.0,16,0,0,0
77,1,2,0,0,0.0,55,0,0,0
55,1,2,0,0,0.0,24,0,0,0
66,1,2,0,1,0.0,34,0,0,0
74,1,2,0,0,0.0,49,0,0,0
97,1,2,0,0,0.0,65,0,0,0
45,1,2,0,0,0.0,21,0,0,0
64,1,2,0,0,0.0,36,0,0,0
43,1,2,0,0,0.0,10,0,0,0
55,1,2,0,0,0.0,22,0,0,0
31,1,2,0,0,0.0,1,0,0,0
27,1,2,0,0,0.0,1,0,0,0
93,1,3,0,0,0.0,61,0,0,0
38,1,2,0,0,0.0,4,0,0,0
32,1,2,0,0,0.0,1,0,0,0
85,1,3,0,0,0.0,55,0,0,0
